"Age","Gender","Latitude","Longitude","PSAI_M","PSAI_F","PSAI_Total","Mtoy","Ftoy","BEM_Masc","BEM_Fem"
58,1,41.60920715,-71.17440033,42,18,74.65,3.5,1,4.95,3.75
35,1,45.5144043,-122.6432953,42,24,68.05,2.75,1.33,6,6
23,1,33.6638031,-84.73310089,35,16,69.15,3,1,4.15,3.8
27,1,40.34559631,-80.13420105,31,28,51.55,3.5,1.33,5.25,4.45
27,1,39.17469788,-86.21060181,45,28,66.95,2.75,2,5.45,5.15
52,1,36.17500305,-115.1371994,51,30,71.35,4,2,6.15,5.25
41,1,40.1750946,-79.92839813,37,19,68.05,4,1,4.85,3.75
47,1,37.60099792,-122.4544983,47,19,79.05,4.75,1.33,5.1,5.3
45,1,38.40339661,-82.35769653,53,16,88.95,4,1,5.6,4.4
39,1,41.70480347,-111.870903,31,19,61.45,2.5,1,4.8,5
25,1,40.01919556,-75.09400177,42,17,75.75,3.25,1,4.85,4.85
28,1,40.59750366,-73.99790192,17,17,48.25,1.5,1,1.65,3.5
28,1,40.01919556,-75.09400177,35,15,70.25,2,1,4.37,5.1
27,1,33.68479919,-117.3723984,43,24,69.15,3.25,1.33,4.32,3.85
26,1,30.00289917,-90.10369873,38,35,51.55,3,2.67,3.45,4.3
64,1,37.36459351,-85.37580109,42,21,71.35,3.75,1.33,3.85,4.2
29,1,42.30960083,-88.98729706,47,12,86.75,3.75,1,4.8,4.45
22,1,39.95559692,-86.01390076,38,24,63.65,3,1,5.1,4.7
40,1,34.94889832,-89.96649933,37,25,61.45,4.5,1.67,2.95,4.6
24,1,38.581604,-121.4944,49,16,84.55,3.75,1,5.95,2.75
30,1,30.30540466,-98,16,40,21.85,1.25,3.67,2.4,5.5
31,1,29.5697937,-98.6160965,52,23,80.15,4,1.67,4.9,5.25
27,1,28.06309509,-82.41280365,49,21,79.05,3.75,1.67,5.05,3.9
23,1,44.05990601,-88.52780151,49,26,73.55,4.75,1.33,5.25,4.1
43,1,35.87109375,-89.90460205,45,16,80.15,3.25,1,4.9,4.35
60,1,39.4631958,-77.95210266,48,19,80.15,3.25,1.33,5.55,4.55
33,1,42.58790588,-71.34980011,38,24,63.65,3,1,3.3,4.4
42,1,36.2348938,-115.2904968,58,12,98.85,4.5,1,6.35,4.8
54,1,39.62910461,-77.71279907,45,18,77.95,3.75,1,5.15,4.45
45,1,47.61039734,-122.2006989,36,16,70.25,3.5,1,4.75,2.9
36,1,35.16650391,-120.4375992,43,20,73.55,3.5,1,5.25,3.2
59,1,47.38090515,-122.2348022,41,17,74.65,3,1,6.3,4.63
36,1,31.99710083,-80.96450043,44,34,59.25,4,2,4,4.7
42,1,39.21060181,-76.82679749,24,13,60.35,2.75,1,5.3,4.5
56,1,29.55589294,-98.36519623,36,22,63.65,2.25,1.33,5.35,5
52,1,32.22109985,-110.8237991,40,15,75.75,3,1.67,4.8,4.25
43,1,33.26370239,-96.95279694,39,24,64.75,3.25,1,4.6,4
55,1,39.73919678,-104.9847031,48,14,85.65,4,1,5.2,4
38,1,33.62219238,-84.52310181,51,21,81.25,4,1.33,4.55,4.55
60,1,38.91090393,-76.54029846,35,16,69.15,2.75,1,4.25,4.7
34,1,34.15679932,-118.5231018,34,30,52.65,3,1.67,4.4,4.2
42,1,31.30760193,-85.88059998,52,22,81.25,4.25,1,5.6,3.75
22,1,33.71099854,-118.0438004,26,22,52.65,2.75,1.67,3.5,3.8
26,1,29.89860535,-98.72170258,34,16,68.05,2.75,1,4.1,3.7
53,1,29.03219604,-95.46990204,50,19,82.35,3.25,1,5.2,5.35
58,1,41.83210754,-87.78970337,45,23,72.45,3.5,1.33,5.3,3.21
49,1,35.32699585,-97.55509949,38,23,64.75,3.25,1,4,4.05
27,1,13.08329773,80.28329468,44,33,60.35,4,1.67,5,5.05
30,1,28.53829956,-81.3792038,46,30,65.85,3.5,2.33,5.65,5.05
22,1,25.59739685,-80.40309906,32,23,58.15,3.25,1.33,4.65,4.25
62,1,34.05299377,-118.2641983,54,21,84.55,4.25,1,5.55,4.7
31,1,34.05220032,-118.2436981,32,13,69.15,2,1,5.3,4.6
37,1,40.58650208,-122.3917007,46,15,82.35,3.75,1.33,4.45,3.55
44,1,30.63110352,-88.2818985,46,22,74.65,4,1.33,5.8,4.65
30,1,33.65950012,-85.88569641,47,19,79.05,4,1,5.55,3.85
45,1,36.48300171,-119.5065002,30,35,42.75,2.25,2.67,4.47,4.55
37,1,29.83270264,-95.66269684,45,16,80.15,3.25,1.33,4.6,4.35
30,1,23.91670227,87.53329468,34,37,44.95,3.25,3.67,4.45,3.85
26,1,37.72169495,-122.444397,36,32,52.65,3,3,4,4
20,1,39.83309937,-86.17469788,43,23,70.25,3,1,3.25,4.75
28,1,38.76649475,-89.65329742,39,41,46.05,3.25,2.67,4.55,4.6
25,1,33.91290283,-118.3439026,27,17,59.25,2.25,1.33,3.35,3.45
43,1,40.82670593,-73.89150238,39,26,62.55,3.5,1.33,5.15,5.05
40,1,36.19430542,-79.39600372,29,13,65.85,3,1,4.6,4.1
62,1,34.80380249,-86.61889648,54,23,82.35,4,2,6.1,4.75
38,1,34.1190033,-84.4477005,34,21,62.55,2.5,2,4,4.6
18,1,29.75959778,-81.30290222,16,28,35.05,2,1,3.3,5.3
29,1,36.3302002,-119.292099,45,21,74.65,2.75,1.33,3.65,4.45
28,1,42.47329712,-70.94190216,51,39,61.45,3.75,3.33,5.7,3.85
50,1,25.98249817,-80.34339905,43,17,76.85,3.5,1,6.3,5
31,1,38.93760681,-77.09279633,35,19,65.85,2.5,1,3.35,4.1
31,1,39.78379822,-86.04769897,37,17,70.25,2.25,1,5.85,4.2
30,1,35.05220032,-92.50440216,58,19,91.15,4.5,1,6.35,4.25
52,1,38.13470459,-97.9260025,34,19,64.75,3,1.33,4.9,4.55
24,1,39.73320007,-75.13929749,36,26,59.25,2.75,1.33,4.15,4.15
38,1,29.74909973,-95.34719849,22,34,35.05,2,2,3.7,3.65
29,1,33.37579346,-84.46569824,53,22,82.35,4,1,5.3,4.3
33,1,40.81820679,-81.4917984,32,29,51.55,2.75,2,5.85,5
44,1,33.92689514,-117.8611984,51,17,85.65,4.25,1.33,4.3,3.85
43,1,30.17660522,-95.51010132,45,19,76.85,3.5,1,5.25,4.4
24,1,30.12939453,-81.77749634,35,16,69.15,2.5,1,4.85,4.3
